x1,x2,x3,log10sigmav
-3,-0.19999999999999996,-2.3,-0.3198674932066588
-3,-0.19999999999999996,-2.0,0.2801280400589396
-3,-0.19999999999999996,-1.6999999999999997,0.8801102581434794
-3,-0.19999999999999996,-1.3999999999999995,1.4800394745818835
-3,-0.19999999999999996,-1.0999999999999996,2.0797577992451255
-3,-0.19999999999999996,-0.7999999999999998,2.678638312743252
-3,-0.19999999999999996,-0.5,3.274211131522426
-3,0.0,-5.6,-6.431911422158026
-3,0.0,-5.3,-5.831911422159178
-3,0.0,-5.0,-5.231911422163758
-3,0.0,-4.699999999999999,-4.631911422181991
-3,0.0,-4.3999999999999995,-4.031911422254585
-3,0.0,-4.1,-3.431911422543585
-3,0.0,-3.8,-2.831911423694112
-3,0.0,-3.4999999999999996,-2.2319114282744428
-3,0.0,-3.1999999999999997,-1.631911446509068
-3,0.0,-2.9,-1.0319115191024109
-3,0.0,-2.5999999999999996,-0.431911808101592
-3,0.0,-2.3,0.16808704137383335
-3,0.0,-2.0,0.7680824610829774
-3,0.0,-1.6999999999999997,1.3680642270916812
-3,0.0,-1.3999999999999995,1.967991643792498
-3,0.0,-1.0999999999999996,2.5677028037097385
-3,0.0,-0.7999999999999998,3.166554796033325
-3,0.0,-0.5,3.7620141047159947
-3,0.20000000000000018,-5.6,-6.096844042684907
-3,0.20000000000000018,-5.3,-5.496844042686077
-3,0.20000000000000018,-5.0,-4.896844042690735
-3,0.20000000000000018,-4.699999999999999,-4.296844042709276
-3,0.20000000000000018,-4.3999999999999995,-3.696844042783095
-3,0.20000000000000018,-4.1,-3.096844043076973
-3,0.20000000000000018,-3.8,-2.496844044246921
-3,0.20000000000000018,-3.4999999999999996,-1.8968440489045661
-3,0.20000000000000018,-3.1999999999999997,-1.2968440674469872
-3,0.20000000000000018,-2.9,-0.696844141265687
-3,0.20000000000000018,-2.5999999999999996,-0.09684443514310226
-3,0.20000000000000018,-2.3,0.5031543949117246
-3,0.20000000000000018,-2.0,1.1031497373060872
-3,0.20000000000000018,-1.6999999999999997,1.703131195519304
-3,0.20000000000000018,-1.3999999999999995,2.3030573868674353
-3,0.20000000000000018,-1.0999999999999996,2.9027636686187903
-3,0.20000000000000018,-0.7999999999999998,3.5015962414227966
-3,0.20000000000000018,-0.5,4.096978252419249
-3,0.40000000000000013,-5.6,-5.972190050078654
-3,0.40000000000000013,-5.3,-5.3721900500798325
-3,0.40000000000000013,-5.0,-4.772190050084527
-3,0.40000000000000013,-4.699999999999999,-4.172190050103213
-3,0.40000000000000013,-4.3999999999999995,-3.5721900501776083
-3,0.40000000000000013,-4.1,-2.9721900504737806
-3,0.40000000000000013,-3.8,-2.372190051652863
-3,0.40000000000000013,-3.4999999999999996,-1.772190056346873
-3,0.40000000000000013,-3.1999999999999997,-1.172190075034065
-3,0.40000000000000013,-2.9,-0.5721901494291073
-3,0.40000000000000013,-2.5999999999999996,0.027809554399016483
-3,0.40000000000000013,-2.3,0.6278083753194297
-3,0.40000000000000013,-2.0,1.2278036813490372
-3,0.40000000000000013,-1.6999999999999997,1.8277849947915856
-3,0.40000000000000013,-1.3999999999999995,2.4277106097977486
-3,0.40000000000000013,-1.0999999999999996,3.0274145970974247
-3,0.40000000000000013,-0.7999999999999998,3.626238035636109
-3,0.40000000000000013,-0.5,4.221583684232812
-3,0.6000000000000001,-5.6,-6.135013038675244
-3,0.6000000000000001,-5.3,-5.53501303867641
-3,0.6000000000000001,-5.0,-4.935013038681049
-3,0.6000000000000001,-4.699999999999999,-4.3350130386995165
-3,0.6000000000000001,-4.3999999999999995,-3.7350130387730434
-3,0.6000000000000001,-4.1,-3.1350130390657567
-3,0.6000000000000001,-3.8,-2.5350130402310693
-3,0.6000000000000001,-3.4999999999999996,-1.9350130448702607
-3,0.6000000000000001,-3.1999999999999997,-1.3350130633392154
-3,0.6000000000000001,-2.9,-0.7350131368654408
-3,0.6000000000000001,-2.5999999999999996,-0.13501342957849338
-3,0.6000000000000001,-2.3,0.46498540511174224
-3,0.6000000000000001,-2.0,1.0649807659599728
-3,0.6000000000000001,-1.6999999999999997,1.664962297638946
-3,0.6000000000000001,-1.3999999999999995,2.2648887814529317
-3,0.6000000000000001,-1.0999999999999996,2.8645962274273944
-3,0.6000000000000001,-0.7999999999999998,3.463433433432112
-3,0.6000000000000001,-0.5,4.058833863314475
-3,0.8,-5.6,-6.689493442287437
-3,0.8,-5.3,-6.08949344228851
-3,0.8,-5.0,-5.489493442292782
-3,0.8,-4.699999999999999,-4.8894934423097896
-3,0.8,-4.3999999999999995,-4.289493442377504
-3,0.8,-4.1,-3.689493442647075
-3,0.8,-3.8,-3.0894934437202592
